Name,Category,Color,City,Lat,Lon
Puesto de Salud Remolinos,Primary Care (Level 1),#2ecc71,Colombia,0.5908332,-74.4025482
Centro de Salud Santa Fe,Primary Care (Level 1),#2ecc71,Colombia,1.0027382,-74.7063071
Medicina Funcional Samsara,Primary Care (Level 1),#2ecc71,Colombia,4.5606238,-75.657082
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,4.4585531,-75.2358656
Proenso,Primary Care (Level 1),#2ecc71,Colombia,4.5381062,-75.6674787
Terapias Integrales IPS,Primary Care (Level 1),#2ecc71,Colombia,4.136234,-73.6349215
Clínica de fracturas Ltda,Primary Care (Level 1),#2ecc71,Pereria,4.8028159,-75.6855492
Veterinaria valle de atriz,Primary Care (Level 1),#2ecc71,Colombia,1.216828,-77.2858337
E.s.e Las Mercedes,General Hospital (Level 2),#e67e22,Colombia,1.6969514,-78.2501323
Puesto de Salud,Primary Care (Level 1),#2ecc71,Colombia,6.9082308,-73.6279972
Puesto de salud,Primary Care (Level 1),#2ecc71,Colombia,2.5344125,-76.0852917
puesto de salud el toboso,Primary Care (Level 1),#2ecc71,Colombia,6.7629834,-73.518075
puesto de salud,Primary Care (Level 1),#2ecc71,Colombia,6.9363199,-73.414385
Previa IPS,Primary Care (Level 1),#2ecc71,Colombia,4.3118555,-72.0788236
Unidad Renal RTS,Specialized,#3498db,Pereira,4.7963286,-75.6922062
UAB Villanueva,Primary Care (Level 1),#2ecc71,Colombia,6.2556262,-75.5642377
EPS San Sebastian,Primary Care (Level 1),#2ecc71,Colombia,2.3933874,-75.8897276
Medical Center,General Hospital (Level 2),#e67e22,Colombia,6.2075403,-75.390771
"CEDE Hospital San Juan de Dios, Zona de Participación Vecinal: Vegas el Fonce",General Hospital (Level 2),#e67e22,Zona de Partipación Vecinal: Vegas del Fonce,6.5547626,-73.1452809
UAB Florida,Primary Care (Level 1),#2ecc71,Colombia,6.2705286,-75.5765702
E. S. E. Camilo Trujillo Silva,Primary Care (Level 1),#2ecc71,Colombia,1.724052,-76.1345166
ESE Salud del Tundama,Primary Care (Level 1),#2ecc71,Colombia,5.8335702,-73.0260453
E.S.E Maria Cristina Cobo Mahecha,General Hospital (Level 2),#e67e22,Colombia,1.9588834,-72.6543689
Sala de Masajes en Villavicencio,General Hospital (Level 2),#e67e22,Villavicencio,4.1069001,-73.6526131
Oceania,Primary Care (Level 1),#2ecc71,Colombia,2.4538801,-76.6043938
Ipsi Minga,Primary Care (Level 1),#2ecc71,Colombia,2.454856,-76.601767
Unidad Oncológica Surcolombiana SAS,Specialized,#3498db,Colombia,2.9306172,-75.2818514
Medical Center,General Hospital (Level 2),#e67e22,Colombia,6.2586175,-75.5859105
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,6.239751,-75.5799335
Salud Integral el Nogal,Primary Care (Level 1),#2ecc71,Colombia,6.2382898,-75.5968081
Grupo Coomeva,Primary Care (Level 1),#2ecc71,Colombia,6.2389021,-75.5931744
Coopsana Sura,Primary Care (Level 1),#2ecc71,Colombia,6.253506,-75.5836973
Puesto de salud Alto Aguacatal,Primary Care (Level 1),#2ecc71,Colombia,3.5205941,-76.5980342
Metrosalud Estadio,General Hospital (Level 2),#e67e22,Colombia,6.2559753,-75.589549
Savia Salud,General Hospital (Level 2),#e67e22,Colombia,6.2509058,-75.6027051
IPS Prosalco San Juan,Primary Care (Level 1),#2ecc71,Colombia,6.2517335,-75.6066415
EPS Sura San Juan,Primary Care (Level 1),#2ecc71,Colombia,6.251376,-75.6066919
Clínica Cristo Rey,Primary Care (Level 1),#2ecc71,Colombia,3.4603059,-76.5288426
IPS La Rivera,Primary Care (Level 1),#2ecc71,Colombia,3.4742359,-76.490479
Cruz Roja,Emergency/First Response,#f1c40f,Colombia,4.4374542,-75.2150718
Punt Fin EPS Seguridad Industrial,General Hospital (Level 2),#e67e22,Colombia,6.2634902,-75.5867116
IPS Comfama Sura,Primary Care (Level 1),#2ecc71,Colombia,6.1568312,-75.6429009
Drogeria Santa  Gema,General Hospital (Level 2),#e67e22,Colombia,6.238371,-75.606186
Medical Center,General Hospital (Level 2),#e67e22,Colombia,3.3771218,-76.3269131
Ese Popayán - Yanaconas,Primary Care (Level 1),#2ecc71,Colombia,2.4548804,-76.5865406
Centro Ortopédico de Nariño,Primary Care (Level 1),#2ecc71,Colombia,1.2170916,-77.2832727
Centro de Salud Señor de los Milagros,Primary Care (Level 1),#2ecc71,Colombia,0.9224843,-77.5684863
Medical Center,General Hospital (Level 2),#e67e22,Colombia,6.7260934,-75.2865252
Yarmuk Medical Center,General Hospital (Level 2),#e67e22,Colombia,5.8101025,-73.0297051
Centro Especializado Sabana,Primary Care (Level 1),#2ecc71,Colombia,6.1577475,-75.6145459
Hospital de Candelaria,General Hospital (Level 2),#e67e22,Colombia,3.4116885,-76.3485003
Salud Total EPS,Primary Care (Level 1),#2ecc71,Colombia,6.2505903,-75.5991446
metro salud san javier,General Hospital (Level 2),#e67e22,Colombia,6.2543018,-75.6203308
Mediseasum,General Hospital (Level 2),#e67e22,Chiquinquirá,5.6135594,-73.8178575
galenos,General Hospital (Level 2),#e67e22,Colombia,5.6137783,-73.8176148
Clínica El Rosario,General Hospital (Level 2),#e67e22,Colombia,6.2556022,-75.5565512
Hospital San Jose,General Hospital (Level 2),#e67e22,Colombia,5.8761476,-73.5747461
Tranvia Plaza,Primary Care (Level 1),#2ecc71,Colombia,6.2449911,-75.5611568
Pedregosa,Primary Care (Level 1),#2ecc71,Colombia,2.6705069,-76.6398002
Casa Prot,General Hospital (Level 2),#e67e22,Colombia,5.5001953,-75.6102639
IPS San Sebastian,Primary Care (Level 1),#2ecc71,Pereira,4.8157062,-75.7010505
Inyectología El Lago,Primary Care (Level 1),#2ecc71,Pereira,4.8151899,-75.6994015
Coomeva EPS,Primary Care (Level 1),#2ecc71,Pereira,4.8070369,-75.6816377
Medical Center,General Hospital (Level 2),#e67e22,Colombia,5.3388709,-75.8152717
Medical Center,Primary Care (Level 1),#2ecc71,Pereira,4.8082851,-75.6788537
Clinica Orva Medical Group,Primary Care (Level 1),#2ecc71,Colombia,3.4207423,-76.5439381
EPS Sanitas,Primary Care (Level 1),#2ecc71,Pereira,4.812956,-75.7115775
Hospital Departamental,High Complexity (Level 3/4),#e74c3c,Puerto Gaitán,4.3123319,-72.0806877
Sanar IPS,Primary Care (Level 1),#2ecc71,Puerto Gaitán,4.3119521,-72.0792284
Unidad intermedia Centro ESE Salud Pereira,General Hospital (Level 2),#e67e22,Pereira,4.8171735,-75.7123001
Hospital Universitario Clínica San Rafael,High Complexity (Level 3/4),#e74c3c,Pereira,4.7986891,-75.6894004
Unidad Renal del Sarare,Specialized,#3498db,Colombia,6.9511021,-71.886641
Central de Urgencias Louis Pasteur,Emergency/First Response,#f1c40f,Colombia,4.2022145,-74.6419319
Integral salud del Cauca,Primary Care (Level 1),#2ecc71,Colombia,2.4561545,-76.5983487
Alcohólicos Anónimos,Primary Care (Level 1),#2ecc71,Colombia,5.5991157,-75.8184711
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,3.4233824,-76.5507419
Idime,Primary Care (Level 1),#2ecc71,Colombia,4.5472625,-75.6667884
Urgencias Clínica Farallones,Emergency/First Response,#f1c40f,Cali,3.4098928,-76.539151
Puesto de salud de Subia,Primary Care (Level 1),#2ecc71,Colombia,4.4677513,-74.3840879
Puesto de salud Bajo Calima,Primary Care (Level 1),#2ecc71,Colombia,3.9978679,-76.9752609
Clínica Odontológica Oral Láser,Specialized,#3498db,Colombia,6.2041283,-75.5769617
CediMed,Primary Care (Level 1),#2ecc71,Colombia,6.2068143,-75.570941
Clínica Clofán,Primary Care (Level 1),#2ecc71,Colombia,6.223327,-75.5749033
IQ InterQuirófanos,Primary Care (Level 1),#2ecc71,Colombia,6.2064259,-75.5701608
Clínica PROMTA - Sede Rionegro,Primary Care (Level 1),#2ecc71,Colombia,6.1406693,-75.3775989
CENDIATRA IBAGUE CR 5,Primary Care (Level 1),#2ecc71,Colombia,4.4399772,-75.2250977
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,5.833767,-73.0291425
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,5.8100725,-73.0633736
Hospital Regional de Moniquirá Sede Centro,High Complexity (Level 3/4),#e74c3c,Moniquirá,5.8784251,-73.5710914
IPS Sura Aventura Plaza,Primary Care (Level 1),#2ecc71,Colombia,3.3681109,-76.5300396
Drogueria Juan XXIII,General Hospital (Level 2),#e67e22,Comuna 4 - Aranjuez,6.2821031,-75.5610656
Fundación Valle del Lili,Primary Care (Level 1),#2ecc71,Colombia,3.2588009,-76.5581912
clinica valle del sol,General Hospital (Level 2),#e67e22,sogamoso,5.7094879,-72.9355479
Medical Center,General Hospital (Level 2),#e67e22,Colombia,2.448138,-75.7729155
Metrosalud picacho,Primary Care (Level 1),#2ecc71,Colombia,6.2978871,-75.5835605
ESE primer nivel Makatoa,Primary Care (Level 1),#2ecc71,Colombia,3.5286741,-73.7024183
IPS Sikuaso Tame,Primary Care (Level 1),#2ecc71,Colombia,6.4652166,-71.7344742
Clínica Santa Cruz de la Loma,General Hospital (Level 2),#e67e22,Colombia,6.5526303,-73.1350505
IPS Sikuaso,Primary Care (Level 1),#2ecc71,Colombia,6.4652165,-71.7344761
clinica busi y medicina integral,Primary Care (Level 1),#2ecc71,Colombia,3.26039,-76.5418291
Sikuaso IPSI Tame,Primary Care (Level 1),#2ecc71,Colombia,6.4652074,-71.7344785
Centro de Salud El Popular,Primary Care (Level 1),#2ecc71,Colombia,4.1400901,-73.6146619
Centro de Salud Barzal,Primary Care (Level 1),#2ecc71,Colombia,4.1467398,-73.6386427
Centro de Salud Porvenir,Primary Care (Level 1),#2ecc71,Villavicencio,4.1478627,-73.6299464
CENTRO DE SALUD 12 DE OCTUBRE,Primary Care (Level 1),#2ecc71,Colombia,4.1595216,-73.6515375
Puesto de Salud Kirpas,Primary Care (Level 1),#2ecc71,Comuna 5,4.1193828,-73.5857131
Famedic Atencion Medica,Primary Care (Level 1),#2ecc71,Villavicencio,4.1457467,-73.6390423
Nueva Clinica El Barzal,Primary Care (Level 1),#2ecc71,Comuna 2,4.1464812,-73.6393678
Clinica Materno Infantil San Rafael,Primary Care (Level 1),#2ecc71,Villavicencio,4.1451493,-73.6353165
Centro Médico Sanitas - MultiSalud,Primary Care (Level 1),#2ecc71,Villavicencio,4.1404492,-73.6393362
IPS Multisalud Barzal,Primary Care (Level 1),#2ecc71,Villavicencio,4.1443088,-73.6358723
Comfenalco sede jamundi,Primary Care (Level 1),#2ecc71,Colombia,3.2596583,-76.543588
EPS sanitas,Primary Care (Level 1),#2ecc71,Colombia,3.2604938,-76.5430114
Eps S.o.s,General Hospital (Level 2),#e67e22,Buenaventura,3.8900656,-77.0782804
Sanitas EPS,Primary Care (Level 1),#2ecc71,Colombia,3.4621221,-76.5292278
EPS Sanitas,General Hospital (Level 2),#e67e22,Colombia,1.2179302,-77.2886586
Medical Center,General Hospital (Level 2),#e67e22,Colombia,4.5109516,-76.2390783
Latin Surgery Círugia Plástica,General Hospital (Level 2),#e67e22,Cali,3.420947,-76.5464541
Medical Center,Primary Care (Level 1),#2ecc71,Colombia,1.2910635,-77.3581855
Hospital San Ricardo Pampuri,General Hospital (Level 2),#e67e22,Colombia,6.9550334,-71.8822931
Dra Diamond - Medicina Estética y Tricologia,Primary Care (Level 1),#2ecc71,Envigado,6.1529237,-75.5377568
EPS Sanitas,Primary Care (Level 1),#2ecc71,Colombia,2.4547391,-76.6022441
EPS Sura,General Hospital (Level 2),#e67e22,Colombia,4.5503609,-75.6596538
