Name,Type,Complexity,City,Latitude,Longitude
HOSPITAL UCATA,hospital,High,Charta,7.2809932,-72.9684498
Hospital Santo domingo Sabio,hospital,High,Colombia,7.4733879,-73.2030754
hospital regional de cachira,hospital,Medium,Colombia,7.7411622,-73.0486818
Columbia internat,hospital,Medium,Colombia,7.9188637,-72.5380805
comunity health center,hospital,Medium,Colombia,7.9110297,-72.5209676
Clínica El Rodeo,clinic,Low,Colombia,7.8893157,-72.5447693
Medical Center,hospital,Medium,Colombia,7.8982983,-72.5299817
(UIS 20) UISalud,clinic,Low,Colombia,7.1412215,-73.1216084
Puesto de Salud,hospital,Medium,Colombia,7.8864844,-74.8075982
Centro de Salud,hospital,Medium,Colombia,8.057842,-74.8756318
IPS Clínica Panamericana,hospital,High,Colombia,7.8521054,-76.6401844
Hospital San Juan de Saagún,hospital,High,Colombia,8.954908,-75.4504815
Medicatura Rural,hospital,Medium,Colombia,7.6445274,-72.2782209
Medical Center,clinic,Low,Colombia,8.7521414,-75.8824301
Medical Center,clinic,Low,Colombia,8.7524524,-75.8818081
Medical Center,clinic,Low,Colombia,8.7521397,-75.8826087
Medical Center,clinic,Low,Colombia,8.7531501,-75.8823562
Clínica de Urabá,hospital,Medium,Colombia,7.8872881,-76.6371545
Medical Center,hospital,Medium,Colombia,7.8876646,-76.6374819
Hospital Paraiso,hospital,Medium,Colombia,8.1831856,-76.0484237
CDI Palmira,hospital,Medium,Colombia,7.834866,-72.2323608
CRI Palmira,hospital,Medium,Colombia,7.8350254,-72.2321127
Medical Center,clinic,Low,Colombia,7.8939071,-72.4967879
Puesto de salud,clinic,Low,Colombia,8.041339,-72.8677607
Centro De Salud,hospital,Medium,Colombia,8.4042014,-73.2088741
Medcare I.P.S,hospital,Medium,Colombia,7.9105053,-72.5216336
puesto de salud ospina perez,hospital,Medium,Colombia,7.9252026,-72.5210769
Centro de Salud Nuestra Señora del Carmen,hospital,Medium,Colombia,7.3103293,-72.8722897
Fundación Cardiovascular de Colombia (FCV),hospital,Medium,Colombia,7.0726775,-73.1100005
IPs Los Olivos,hospital,Medium,Colombia,7.9037616,-72.5401571
Clínica Oftalmología San Diego,hospital,Medium,Colombia,7.8823387,-72.4991343
Norte Salud,hospital,Medium,Colombia,7.8762822,-72.4996068
Hospital Local del Norte,hospital,Medium,Colombia,7.1489683,-73.1347552
Clinica Veterinaria de Pequeños Animales de la Universidad de Pamplona (CVUP),hospital,Medium,Pamplona,7.3778588,-72.6472978
E.S.E Centro De Salud Samuel Villanueva Valest,hospital,Medium,Colombia,8.9954546,-73.9716591
Centro Urológico 2000 C.A.,clinic,Low,San Cristóbal,7.7698943,-72.221254
Clinica Chicamocha - Sede Puerta del Sol,clinic,Low,Colombia,7.1070001,-73.1123775
Hospital Clínico la Trinidad,clinic,Low,Colombia,8.0325839,-72.2602417
Hospital Universitario de Santander,hospital,Medium,Colombia,7.1281556,-73.1140884
Centro Médico Carlos Ardila Lulle,clinic,Low,Colombia,7.0737692,-73.1100889
Clínica Foscal,clinic,Low,Colombia,7.0733721,-73.1100252
Hospital Psiquiátrico San Camilo,hospital,Medium,Colombia,7.1107405,-73.1309807
Hospital San Juan de Dios de Floridablanca,hospital,Medium,Colombia,7.0608402,-73.0884176
Medical Center,hospital,Medium,Colombia,7.5055727,-72.4829925
Casa del Niño,clinic,Low,Colombia,8.7610094,-75.8783994
Medicina Integral,clinic,Low,Colombia,8.7598759,-75.8710471
Clínica Universitaria Medicina Integral CUMI,hospital,Medium,Montería,8.7601263,-75.871699
Centro de Salud Campo Hermoso,clinic,Low,Colombia,7.1072262,-73.1374192
UCIS de Colombia,hospital,Medium,Colombia,7.9061288,-72.4929542
Policlínca DESAN,hospital,Medium,Colombia,7.1033306,-73.1195386
Centro de Salud Bucaramanga,clinic,Low,Colombia,7.0928224,-73.1241456
ESE GUARANDA,hospital,High,GUARANDA,8.4644744,-74.5415237
Hospital San Vicente de Paul,hospital,High,Colombia,7.9141712,-72.7872363
Ambulatorio,clinic,Low,Colombia,7.8410728,-72.2270884
Hospital Francisco Valderrama,hospital,Medium,Colombia,8.0945194,-76.7145032
Modulo de Barrio Adentro,hospital,Medium,Rubio,7.7026688,-72.3585048
Modulo de Barrio Adentro,hospital,Medium,Rubio,7.7029325,-72.3583
Modulo de Barrio Adentro,hospital,Medium,Rubio,7.702875,-72.3580517
Medical Center,clinic,Low,Colombia,7.6959091,-72.356156
Medical Center,clinic,Low,Colombia,7.696086,-72.3558178
EPS Sanitas Green Gold,hospital,Medium,Colombia,7.120753,-73.1158569
Clínica Materno Infantil San Luis.,clinic,Low,Colombia,7.1164567,-73.1162418
