ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3453,0,Peru,0,-74.4359,-13.5756,85604.33,2009-02-15,2009-02-17,News,6,10000,Heavy Rain,1.0
3483,0,Haiti,0,-72.3336,19.5616,5754.23,2009-05-18,2009-05-21,News,0,0,Heavy Rain,1.5
3583,FL-2009-000261-PER,Peru,0,-75.0108,-11.826,172579.0,2009-12-20,2009-12-21,0,0,0,Heavy Rain,1.0
3597,0,Peru,0,-72.9391,-12.9894,135281.63,2010-01-25,2010-01-30,0,20,0,Torrential Rain,2.0
3605,0,Dominican Republic,0,-70.5612,19.627,2791.39,2010-02-14,2010-02-15,0,0,150,Torrential Rain,1.0
3609,FL-2010-000023-ECU,Peru,,-78.2867,-4.68221,305772.0,2010-02-10,2010-02-17,0,0,80000,Torrential Rain,1.0
3613,FL-2010-000037-HTI,Haiti,0,-73.7657,18.4176,3836.32,2010-02-28,2010-03-02,0,13,0,Heavy Rain,1.0
3619,0,Peru,0,-73.3575,-11.8464,57889.66,2010-03-02,2010-03-04,0,7,20,Heavy Rain,1.0
3637,0,Cuba,0,-75.3832,20.2623,10657.92,2010-04-17,2010-04-21,0,0,84,Heavy Rain,1.0
3670,FL-2010-000121-DOM,Dominican Republic,0,-70.3928,19.2545,15731.6,2010-06-25,2010-06-27,0,0,0,Torrential Rain,1.0
3725,0,Jamaica,0,-77.2932,18.1978,6786.59,2010-09-20,2010-09-30,News,5,0,Tropical Storm Nicole,1.5
3742,TC-2010-000216-HTI,Haiti,,-75.8813,20.4766,39742.27,2010-11-05,2010-11-10,News,0,0,Hurricane Tomas,1.5
3781,,Peru,,-71.7581,-14.5325,135202.5,2011-02-10,2011-02-26,News,0,300,Torrential Rain,1.0
3782,,Bolivia,Peru,-65.5997,-16.4659,122139.84,2011-02-14,2011-02-26,News,3,10000,Torrential Rain,1.5
3817,,Haiti,Dominican Republic,-71.9966,18.5965,1115.2,2011-06-04,2011-06-13,News,23,250,Heavy Rain,1.0
3836,,Dominican Republic,Haiti,-70.9765,18.855,43197.43,2011-07-02,2011-07-06,News,4,4000,Heavy Rain,1.5
3848,,Dominican Republic,Haiti,-70.4897,19.1316,28022.38,2011-08-03,2011-08-09,News,3,7000,Tropical Storm-Emily,1.5
3910,,Ecuador,,-79.4951,-0.5987,39793.06,2012-03-01,2012-03-26,News,10,4700,Heavy Rain,1.5
3911,,Chile,,-69.408,-52.8256,88870.6,2012-03-01,2012-03-15,News,0,1000,Heavy Rain,1.5
3915,,Haiti,Dominican Republic,-72.5821,19.4433,35151.93,2012-04-08,2012-04-26,News,9,11000,Heavy Rain,1.5
3973,TC-2012-000152-HTI,Haiti,,-72.2827,19.1356,4904.1,2012-08-25,2012-08-29,News,19,15000,Tropical Storm Isaac,1.5
3997,TC-2012-000180-CUB; TC-2012-000180-,USA,Haiti,-75.228,39.9231,293995.06,2012-10-24,2012-10-29,News,65,0,Tropical Storm Sandy,2.0
4017,,Peru,,-76.4573,-9.28298,318648.95,2013-01-04,2013-01-10,News,0,2000,Torrential Rain,1.5
4027,,Peru,Bolivia,-69.094,-20.3461,577782.56,2013-02-08,2013-02-12,News,31,2400,Heavy Rain,2.0
4041,,Peru,Bolivia,-70.9926,-16.5124,740437.68,2013-03-10,2013-03-17,News,0,3000,Heavy Rain,1.5
4097,,Peru,,-76.1873,-8.5735,253520.53,2013-10-11,2013-10-14,News,0,1100,Heavy Rain,1.5
4109,,Cuba,,-81.3958,22.9043,7627.3,2013-12-01,2013-12-08,News,2,227,Torrential Rain,1.0
4114,FL-2013-000159-LCA,Saint Vincent,St. Lucia,-60.9886,13.9188,830.232,2013-12-26,2014-01-04,News,11,0,Heavy Rain,1.0
4116,,Peru,,-71.5232,-12.4186,74144.66,2014-01-01,2014-01-04,News,0,300,Heavy Rain,1.0
4180,,Dominican Republic,,-69.754,19.0682,13399.5,2014-08-20,2014-09-04,News,0,4000,Tropical Storm Cristobal,1.0
4214,FL-2014-000163-COL,Colombia,,-75.544,4.59198,406009.51,2014-11-01,2014-12-20,News,44,0,Heavy Rain,1.5
4225,,Bolivia,Peru,-65.8445,-11.5042,487370.75,2015-02-20,2015-02-24,News,0,4000,Monsoonal Rain,1.5
4227,,Dominican Republic,,-69.8035,19.3285,11588.13,2015-02-20,2015-02-24,News,0,12000,Heavy Rain,1.0
4238,FL-2015-000027-CHL,Chile,,-68.888,-22.3617,154773.16,2015-03-25,2015-04-08,News,27,2514,Heavy Rain,2.0
4243,,Haiti,,-72.1912,18.685,3672.34,2015-04-04,2015-04-06,News,6,1000,Heavy Rain,1.0
4255,,Chile,,-72.9212,-44.1033,224189.77,2015-05-17,2015-05-21,News,0,100,Heavy Rain,1.5
4275,,Guyana,,-58.7431,6.66576,30931.23,2015-07-16,2015-07-21,News,0,0,Heavy Rain,1.5
4306,TC-2015-000142-BHS,Bahamas,,-73.8324,22.4916,4639.41,2015-10-02,2015-10-08,News,0,300,Tropical Storm Joaquin,1.5
4326,,Ecuador,Colombia,-79.7009,-0.786333,69541.98,2016-01-19,2016-01-29,News,7,2300,Torrential Rain,1.5
4354,,Dominican Republic,Haiti,-71.1644,18.9942,23311.63,2016-05-08,2016-05-11,Flood List,5,3000,Heavy Rain,1.5
4402,,USA,Haiti,-80.8949,33.0316,138622.34,2016-10-05,2016-10-16,News,920,6000,Tropical Storm Matthew,2.0
4415,,Haiti,,-72.5871,19.7388,4534.1,2016-11-05,2016-11-10,News,10,0,Heavy Rain,1.0
4416,,Dominican Republic,,-70.1252,18.9199,30798.38,2016-11-07,2016-11-10,News,0,20000,Heavy Rain,1.0
4420,,Colombia,,-76.4842,2.80694,22578.75,2016-12-01,2016-12-07,News,0,6,Torrential Rain,1.0
4441,,Peru,,-77.573,-5.25083,288499.13,2017-02-01,2017-02-07,News,1,12000,Heavy Rain,1.0
4442,,Colombia,,-76.2863,1.6911,117321.46,2017-01-05,2017-02-07,News,0,280,Heavy Rain,1.0
4445,,Chile,,-70.2489,-30.9395,183781.03,2017-02-24,2017-03-03,News,3,1200,Heavy Rain,2.0
4448,,Colombia,,-72.6737,3.72258,128596.78,2017-02-23,2017-03-03,News,1,2000,Heavy Rain,1.0
4450,FL-2017-000018-PER,Peru,,-75.1481,-11.0042,810942.34,2017-02-01,2017-03-22,News,78,70000,Heavy Rain,2.0
4456,MS-2017-000033-COL,Colombia,,-76.1131,2.18701,28634.32,2017-04-01,2017-04-08,News,314,0,Heavy Rain,2.0
4467,,Dominican Republic,Haiti,-69.853,18.9198,24676.67,2017-04-23,2017-05-02,News,0,17145,Torrential Rain,1.5
4473,,Chile,,-69.952,-27.1217,157698.57,2017-05-11,2017-05-15,News,2,3000,Heavy Rain,1.5
4478,,Guyana,,-59.0153,3.81464,131888.36,2017-05-20,2017-05-25,News,0,100,Heavy Rain,1.5
4487,,Chile,,-70.9912,-33.4188,71430.43,2017-06-14,2017-06-20,News,4,50,Heavy Rain,1.0
4516,TC-2017-000132-CUB,USA,Cuba,-81.6252,28.5942,219532.85,2017-09-08,2017-09-19,News,84,3000,Tropical Storm Irma,2.0
4537,,Colombia,,-74.2573,3.12814,50404.63,2017-11-07,2017-11-10,News,4,200,Heavy Rain,1.5
4593,,Dominican Republic,,-70.9541,19.6636,3227.68,2018-03-15,2018-03-20,FloodList,0,0,Torrential Rain,1.5
4595,,Argentina,Chile,-70.276,-52.9076,30965.78,2018-04-03,2018-04-06,FloodList,0,50,Torrential Rain,1.5
4625,,USA,Cuba,-84.4022,34.0254,221576.46,2018-05-27,2018-05-31,FloodList,3,23000,Tropical Storm Alberto,1.5
4647,,Dominican Republic,USA,-69.7045,19.0183,21589.73,2018-07-09,2018-07-11,FloodList,0,8000,Tropical Storm Beryl,1.0
4662,,Colombia,Venezuela,-68.2941,2.75369,138376.07,2018-07-26,2018-09-04,FloodList,0,5000,Heavy Rain,1.5
4691,,Colombia,,-72.451,11.2344,19329.37,2018-10-05,2018-10-21,FloodLIst,0,0,Heavy Rain,1.0
4706,,Ecuador,,-77.7214,-1.48156,70607.79,2018-11-24,2018-11-28,FloodList,9,150,Heavy Rain,1.0
4722,,Ecuador,,-77.9688,-1.23336,68561.57,2019-02-09,2019-02-20,FloodList,0,0,Heavy Rain,1.0
4726,,Chile,Peru,-69.2454,-21.9649,272110.34,2019-01-26,2019-02-19,FloodList,6,600,Heavy Rain,1.5
